sno,State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
0,andaman-&-nicobar-islands,2018,1,Recharge & bill payments,4200,1845307.467
1,andaman-&-nicobar-islands,2018,1,Peer-to-peer payments,1871,12138655.3
2,andaman-&-nicobar-islands,2018,1,Merchant payments,298,452507.1686
3,andaman-&-nicobar-islands,2018,1,Financial Services,33,10601.41993
4,andaman-&-nicobar-islands,2018,1,Others,256,184689.8663
5,andaman-&-nicobar-islands,2018,2,Recharge & bill payments,6735,2320944.731
6,andaman-&-nicobar-islands,2018,2,Peer-to-peer payments,3575,24511925.23
7,andaman-&-nicobar-islands,2018,2,Merchant payments,603,1024491.013
8,andaman-&-nicobar-islands,2018,2,Financial Services,59,121336.0271
9,andaman-&-nicobar-islands,2018,2,Others,368,359838.5054
10,andaman-&-nicobar-islands,2018,3,Recharge & bill payments,8636,4343504.868
11,andaman-&-nicobar-islands,2018,3,Peer-to-peer payments,6448,49270781.54
12,andaman-&-nicobar-islands,2018,3,Merchant payments,945,1627359.839
13,andaman-&-nicobar-islands,2018,3,Financial Services,42,1481.490704
14,andaman-&-nicobar-islands,2018,3,Others,194,314343.3941
15,andaman-&-nicobar-islands,2018,4,Recharge & bill payments,11517,5450549.512
16,andaman-&-nicobar-islands,2018,4,Peer-to-peer payments,10451,81001456.98
17,andaman-&-nicobar-islands,2018,4,Merchant payments,1421,3552027.735
18,andaman-&-nicobar-islands,2018,4,Financial Services,29,76035.78774
19,andaman-&-nicobar-islands,2018,4,Others,340,468266.0607
20,andaman-&-nicobar-islands,2019,1,Recharge & bill payments,15263,6611459.873
21,andaman-&-nicobar-islands,2019,1,Peer-to-peer payments,13119,91808345.87
22,andaman-&-nicobar-islands,2019,1,Merchant payments,1759,3266589.847
23,andaman-&-nicobar-islands,2019,1,Financial Services,62,116250.4367
24,andaman-&-nicobar-islands,2019,1,Others,283,497094.6484
25,andaman-&-nicobar-islands,2019,2,Recharge & bill payments,14676,7242448.256
26,andaman-&-nicobar-islands,2019,2,Peer-to-peer payments,14481,107525358.7
27,andaman-&-nicobar-islands,2019,2,Merchant payments,4031,4702152.617
28,andaman-&-nicobar-islands,2019,2,Financial Services,124,113278.9137
29,andaman-&-nicobar-islands,2019,2,Others,377,671471.2226
30,andaman-&-nicobar-islands,2019,3,Recharge & bill payments,16219,8171737.706
31,andaman-&-nicobar-islands,2019,3,Peer-to-peer payments,13767,101079821.1
