State,Year,Quarter,Pincode,Transaction_count,Transaction_amount
andaman-&-nicobar-islands,2018,1,744101,1622,2769297.904
andaman-&-nicobar-islands,2018,1,744103,1223,2238041.872
andaman-&-nicobar-islands,2018,1,744102,969,3519059.938
andaman-&-nicobar-islands,2018,1,744105,685,1298560.952
andaman-&-nicobar-islands,2018,1,744104,340,1039715.311
andaman-&-nicobar-islands,2018,1,744107,302,556059.5309
andaman-&-nicobar-islands,2018,1,744301,283,445739.1634
andaman-&-nicobar-islands,2018,1,744112,269,333709.567
andaman-&-nicobar-islands,2018,1,744202,193,238914.0167
andaman-&-nicobar-islands,2018,1,744302,168,547469.6509
andaman-&-nicobar-islands,2018,2,744101,2701,6310089.917
andaman-&-nicobar-islands,2018,2,744103,1965,4752146.699
andaman-&-nicobar-islands,2018,2,744102,1525,5810267.575
andaman-&-nicobar-islands,2018,2,744105,997,2200332.972
andaman-&-nicobar-islands,2018,2,744301,767,1953749.379
andaman-&-nicobar-islands,2018,2,744104,659,1650346.191
andaman-&-nicobar-islands,2018,2,744107,594,1601569.982
andaman-&-nicobar-islands,2018,2,744112,432,578829.1795
andaman-&-nicobar-islands,2018,2,744202,405,626523.9803
andaman-&-nicobar-islands,2018,2,744302,291,1026590.074
andaman-&-nicobar-islands,2018,3,744101,3462,10833893.44
andaman-&-nicobar-islands,2018,3,744103,3182,10184154.36
andaman-&-nicobar-islands,2018,3,744102,2224,10365275.48
andaman-&-nicobar-islands,2018,3,744105,1613,5152534.08
andaman-&-nicobar-islands,2018,3,744104,1029,2588077.687
andaman-&-nicobar-islands,2018,3,744301,975,4256576.35
andaman-&-nicobar-islands,2018,3,744112,579,1145815.78
andaman-&-nicobar-islands,2018,3,744107,547,1492405.303
andaman-&-nicobar-islands,2018,3,744302,417,1976781.92
andaman-&-nicobar-islands,2018,3,744202,341,2099404.079
andaman-&-nicobar-islands,2018,4,744101,4674,16392855.28
andaman-&-nicobar-islands,2018,4,744103,4576,17022520.26
andaman-&-nicobar-islands,2018,4,744102,3306,17019977.18
andaman-&-nicobar-islands,2018,4,744105,2513,9935282.832
andaman-&-nicobar-islands,2018,4,744104,1432,6091757.917
andaman-&-nicobar-islands,2018,4,744211,1225,3451359.606
andaman-&-nicobar-islands,2018,4,744301,928,4606293.658
andaman-&-nicobar-islands,2018,4,744112,759,2208675.044
andaman-&-nicobar-islands,2018,4,744107,747,1825659.513
andaman-&-nicobar-islands,2018,4,744202,702,3797054.168
andaman-&-nicobar-islands,2019,1,744103,5742,19401964.78
andaman-&-nicobar-islands,2019,1,744101,5156,15501306.23
andaman-&-nicobar-islands,2019,1,744102,3925,16683547.09
andaman-&-nicobar-islands,2019,1,744105,3553,11588669.48
andaman-&-nicobar-islands,2019,1,744104,2833,9141657.22
andaman-&-nicobar-islands,2019,1,744211,1511,5794838.402
andaman-&-nicobar-islands,2019,1,744202,1112,3613381.295
andaman-&-nicobar-islands,2019,1,744107,1029,3592930.298
andaman-&-nicobar-islands,2019,1,744301,920,4652963.411
andaman-&-nicobar-islands,2019,1,744112,802,1893718.654
andaman-&-nicobar-islands,2019,2,744104,6142,15625676.56
andaman-&-nicobar-islands,2019,2,744103,5847,23751450.07
andaman-&-nicobar-islands,2019,2,744101,4863,19061125.41
andaman-&-nicobar-islands,2019,2,744102,4120,18948733.99
andaman-&-nicobar-islands,2019,2,744105,3500,13418692.2
andaman-&-nicobar-islands,2019,2,744202,1153,3619993.391
andaman-&-nicobar-islands,2019,2,744107,1124,2967445.39
andaman-&-nicobar-islands,2019,2,744211,1047,3168331.992
andaman-&-nicobar-islands,2019,2,744301,1007,4849284.519
andaman-&-nicobar-islands,2019,2,744112,763,2928099.608
andaman-&-nicobar-islands,2019,3,744103,5680,19906337.01
andaman-&-nicobar-islands,2019,3,744101,5606,18745152.09
andaman-&-nicobar-islands,2019,3,744104,4786,15754793.35
andaman-&-nicobar-islands,2019,3,744102,3643,14572605.6
andaman-&-nicobar-islands,2019,3,744105,3512,11767224
andaman-&-nicobar-islands,2019,3,744202,1417,3875602.098
andaman-&-nicobar-islands,2019,3,744301,1402,6195496.622
andaman-&-nicobar-islands,2019,3,744211,1118,2983697.449
andaman-&-nicobar-islands,2019,3,744107,914,1988299.76
andaman-&-nicobar-islands,2019,3,744112,833,2198831.692
andaman-&-nicobar-islands,2019,4,744104,6633,20626642.7
andaman-&-nicobar-islands,2019,4,744101,5282,23247752.47
andaman-&-nicobar-islands,2019,4,744103,4840,19792507.96
andaman-&-nicobar-islands,2019,4,744105,3528,15302141.17
andaman-&-nicobar-islands,2019,4,744102,3237,15350444.97
andaman-&-nicobar-islands,2019,4,744202,1783,5800016.556
andaman-&-nicobar-islands,2019,4,744211,1596,7908264.722
andaman-&-nicobar-islands,2019,4,744301,1549,7056478.929
andaman-&-nicobar-islands,2019,4,744201,886,946768.0636
andaman-&-nicobar-islands,2019,4,744107,777,3030368.912
andaman-&-nicobar-islands,2020,1,744101,11793,58229349.02
andaman-&-nicobar-islands,2020,1,744103,5870,22009443.07
andaman-&-nicobar-islands,2020,1,744105,4635,16774043.31
andaman-&-nicobar-islands,2020,1,744102,3820,14517706.12
andaman-&-nicobar-islands,2020,1,744211,1837,8425387.79
andaman-&-nicobar-islands,2020,1,744301,1819,6901162.108
andaman-&-nicobar-islands,2020,1,744202,1794,5037742.396
andaman-&-nicobar-islands,2020,1,744104,1302,5293130.291
andaman-&-nicobar-islands,2020,1,744201,1157,1242638.821
andaman-&-nicobar-islands,2020,1,744107,1043,2990354.445
andaman-&-nicobar-islands,2020,2,744101,11868,48293323.22
andaman-&-nicobar-islands,2020,2,744103,10035,26197535.99
andaman-&-nicobar-islands,2020,2,744105,9341,23203019.86
andaman-&-nicobar-islands,2020,2,744102,6012,17786750.91
andaman-&-nicobar-islands,2020,2,744202,3722,8924121.011
andaman-&-nicobar-islands,2020,2,744107,2555,3980470.685
andaman-&-nicobar-islands,2020,2,744301,2275,9055232.528
andaman-&-nicobar-islands,2020,2,744211,2045,3319717.633
andaman-&-nicobar-islands,2020,2,744205,1847,4459064.907
andaman-&-nicobar-islands,2020,2,744104,1840,3334591.822
andaman-&-nicobar-islands,2020,3,744101,24386,100439119.7
andaman-&-nicobar-islands,2020,3,744103,21272,60332278.69
andaman-&-nicobar-islands,2020,3,744105,17166,44061506.56
andaman-&-nicobar-islands,2020,3,744102,13934,43077189.84
andaman-&-nicobar-islands,2020,3,744202,5779,11975748.71
andaman-&-nicobar-islands,2020,3,744107,4753,7628018.669
andaman-&-nicobar-islands,2020,3,744104,3468,7353834.513
andaman-&-nicobar-islands,2020,3,744112,3422,6067986.696
andaman-&-nicobar-islands,2020,3,744301,3071,13352610.53
andaman-&-nicobar-islands,2020,3,744205,2991,7535645.789
andaman-&-nicobar-islands,2020,4,744103,46884,138264791.5
andaman-&-nicobar-islands,2020,4,744101,40392,136401368
andaman-&-nicobar-islands,2020,4,744105,34410,87838226.94
andaman-&-nicobar-islands,2020,4,744102,26694,76348598.32
